timestamp,abertura,maxima,minima,fechamento,volume,pressao_compradora,pressao_vendedora,SMA_5,EMA_5,SMA_10,EMA_10,SMA_20,EMA_20,SMA_50,EMA_50,SMA_100,EMA_100,SMA_200,EMA_200,resistencia,suporte,dist_resistencia,dist_suporte,var_fechamento,RSI_14,vol_media_5,vol_media_20,fechamento_futuro,hora_num,minuto,dia_semana,retorno,volatilidade
2025-08-30 05:40:00+00:00,4400.005,4402.435,4393.685,4396.005,3489.7439,6.430000000000291,2.319999999999709,4388.157000000001,4389.1707001882805,4375.0960000000005,4380.176515370719,4367.85,4369.778428731738,4341.0346,4354.772770756392,4347.8967,4348.428516947755,4339.6212,4354.847029269297,4402.435,4347.585,6.430000000000291,48.42000000000007,-4.0,72.2949169602415,4805.848120000002,2081.7510749999997,4387.255,5,40,5,-0.0009090898760342192,0.0019436812715017575
2025-08-30 05:45:00+00:00,4396.005,4401.925,4387.255,4387.255,6549.8672,14.670000000000073,0.0,4390.597,4388.532133458854,4378.562,4381.463512576043,4369.0805,4371.44286409062,4342.2666,4356.046583667906,4348.3783,4349.197358196315,4339.55745,4355.169496639752,4402.435,4347.585,15.180000000000291,39.67000000000007,-8.75,68.08056872037909,5657.0508800000025,2357.72669,4388.175,5,45,5,-0.0019904435959468003,0.0021311168479864677
2025-08-30 05:50:00+00:00,4387.375,4396.505,4385.575,4388.175,4459.3049,8.329999999999927,2.600000000000364,4393.055,4388.413088972569,4382.38,4382.683783016762,4370.5644999999995,4373.036400843895,4343.6228,4357.306521563282,4348.7138,4349.969192687477,4339.4942,4355.49790960851,4402.435,4347.585,14.260000000000218,40.590000000000146,0.9200000000000728,68.03132787468842,5730.321260000002,2549.5391750000003,4379.865,5,50,5,0.00020969831933626004,0.0020873410337812165
2025-08-30 05:55:00+00:00,4388.175,4389.895,4377.095,4379.865,2812.3984,10.030000000000655,2.769999999999527,4390.261,4385.563725981713,4383.532,4382.171277013715,4371.362999999999,4373.686743620667,4344.8956,4358.191167776487,4348.8254,4350.561188871882,4339.4528,4355.740368219371,4402.435,4347.585,22.57000000000062,32.279999999999745,-8.3100000000004,60.68919371027081,4963.2879200000025,2665.1525300000003,4386.225,5,55,5,-0.0018937257515938555,0.0018850139486036317
2025-08-30 06:00:00+00:00,4379.865,4391.635,4377.335,4386.225,1629.8359,5.4099999999998545,8.890000000000327,4387.505,4385.7841506544755,4385.669,4382.908317556676,4372.505499999999,4374.880863275841,4346.9956,4359.290533746037,4348.9302,4351.267402953627,4339.4364000000005,4356.043697888829,4402.435,4347.585,16.210000000000036,38.64000000000033,6.360000000000582,68.1466532122435,3788.2300600000026,2722.26934,4386.395,6,0,5,0.0014520995510136636,0.0018782392276729305
2025-08-30 06:05:00+00:00,4386.225,4388.645,4383.155,4386.395,581.5642,2.25,3.240000000000691,4385.5830000000005,4385.987767102984,4386.87,4383.542259819098,4373.425499999999,4375.977447725761,4349.4216,4360.353453991291,4349.055,4351.962998934744,4339.40815,4356.345700894911,4402.435,4347.585,16.039999999999964,38.8100000000004,0.17000000000007276,69.18274687854654,3206.5941200000025,2705.781575,4376.485,6,5,5,3.875770166827941e-05,0.0017834656900687321
2025-08-30 06:10:00+00:00,4386.395,4387.005,4376.135,4376.485,1426.5222,10.520000000000437,0.3499999999994543,4383.429,4382.820178068657,4387.013,4382.25912167017,4374.2215,4376.025786037593,4351.2534000000005,4360.986063638691,4349.1738000000005,4352.448583114255,4339.4160999999995,4356.5460919307825,4402.435,4347.585,25.950000000000728,28.899999999999636,-9.910000000000764,63.88219264228007,2181.925120000002,2715.54367,4382.815,6,10,5,-0.0022592584571158314,0.00195662690892586
2025-08-30 06:15:00+00:00,4376.885,4382.815,4374.495,4382.815,1104.7925,0.0,8.319999999999709,4382.357000000001,4382.818452045771,4387.706,4382.360190457412,4375.5255,4376.672377843536,4353.0746,4361.842100358743,4349.3541,4353.049898300112,4339.5629500000005,4356.807474100625,4402.435,4347.585,19.6200000000008,35.22999999999956,6.329999999999927,58.676100251828046,1511.0226400000022,2734.972035,4389.505,6,15,5,0.0014463662048425086,0.0020074058478911673
2025-08-30 06:20:00+00:00,4382.815,4391.785,4382.815,4389.505,2982.3387,2.2799999999997453,6.690000000000509,4384.285,4385.0473013638475,4387.272999999999,4383.659246737882,4377.111500000001,4377.894532334628,4354.7856,4362.926919952517,4349.6881,4353.77178150209,4339.774,4357.132822617036,4402.435,4347.585,12.930000000000291,41.92000000000007,6.690000000000509,64.23374523617031,1545.010700000002,2865.110515,4390.845,6,20,5,0.001526416241616424,0.0015610390600691159
2025-08-30 06:25:00+00:00,4389.505,4391.715,4386.775,4390.845,1012.2917,0.8699999999998909,4.0700000000006185,4385.209,4386.979867575898,4386.357,4384.965747330994,4378.619000000001,4379.1279102075205,4356.4266,4364.021746621045,4350.040300000001,4354.505904640662,4340.0673,4357.46826716811,4402.435,4347.585,11.590000000000146,43.26000000000022,1.3400000000001455,60.49744897959154,1421.5018600000021,2900.2812,4389.025,6,25,5,0.0003052736014652613,0.0014801587691989778
2025-08-30 06:30:00+00:00,4390.845,4398.495,4389.025,4389.025,4106.2927,9.470000000000255,0.0,4385.735000000001,4387.6615783839325,4385.659000000001,4385.703793270814,4380.3775000000005,4380.070490187756,4358.14,4365.002266361396,4350.4616,4355.189451083422,4340.3557,4357.782264509721,4402.435,4347.585,13.410000000000764,41.4399999999996,-1.8200000000006185,58.78064110622177,2126.447560000002,3090.1895350000004,4392.155,6,30,5,-0.0004144988037610986,0.0014622615568411594
